mine,area_id,latitude,longitude,depth,ore_thickness,rock_density,moisture,iron_content,silica_content,geological_indicator_1,geological_indicator_2,historical_nearby_production,Mn_grade
Balaghat Mine,BAL-DH030,21.86948,80.22546,133.3,10.87,3.52,7.61,13.14,10.39,-0.372,0.195,37116,38.15
Balaghat Mine,BAL-DH031,21.88593,80.19208,147.6,6.47,3.8,5.13,10.73,11.84,-0.847,0.915,44076,32.44
Balaghat Mine,BAL-DH032,21.88303,80.19461,38.0,8.04,3.75,3.48,10.84,23.11,-0.309,0.372,35362,28.78
Balaghat Mine,BAL-DH033,21.86962,80.19118,49.7,5.53,4.39,5.77,9.85,24.15,-0.308,0.582,8027,30.62
Balaghat Mine,BAL-DH034,21.8785,80.20914,118.7,5.75,3.62,4.48,11.56,24.12,-0.545,0.175,42535,26.27
Balaghat Mine,BAL-DH035,21.88115,80.19316,190.9,8.94,4.11,2.92,4.23,10.78,-0.409,0.518,64932,42.15
Balaghat Mine,BAL-DH036,21.88099,80.18612,166.0,6.29,3.66,5.63,11.13,7.11,0.536,0.194,36485,35.33
Balaghat Mine,BAL-DH037,21.85829,80.2243,129.5,1.72,3.66,6.84,11.61,15.67,0.352,0.969,47895,33.45
Balaghat Mine,BAL-DH038,21.88013,80.21236,126.9,9.75,3.98,7.15,8.51,21.13,-0.383,0.318,50723,34.51
Balaghat Mine,BAL-DH039,21.88779,80.20246,151.8,4.03,3.48,3.3,7.04,12.16,0.122,0.222,23495,26.3
Balaghat Mine,BAL-DH040,21.85271,80.19678,134.6,5.48,3.62,4.15,9.55,24.19,0.402,0.854,59295,30.15
Balaghat Mine,BAL-DH041,21.86852,80.17669,95.6,8.96,4.3,7.51,11.1,14.96,0.133,0.631,22776,40.89
Balaghat Mine,BAL-DH042,21.85095,80.19321,162.5,5.36,3.57,4.44,9.91,9.42,-0.801,0.447,45814,30.48
Balaghat Mine,BAL-DH043,21.85086,80.20854,51.5,5.96,3.45,3.89,7.11,11.02,0.52,0.434,58385,37.4
Balaghat Mine,BAL-DH044,21.8536,80.17737,133.9,11.5,3.77,5.6,10.19,21.84,0.508,0.936,21357,40.48
Balaghat Mine,BAL-DH045,21.85052,80.18402,49.5,8.1,3.99,2.87,11.29,20.29,-0.548,0.634,58111,38.26
Balaghat Mine,BAL-DH046,21.89774,80.1818,29.0,4.41,4.11,7.54,10.79,14.54,-0.713,0.708,50025,34.77
Balaghat Mine,BAL-DH047,21.8546,80.21502,197.4,7.38,3.53,7.7,7.3,21.87,-0.079,0.426,41899,28.03
Balaghat Mine,BAL-DH048,21.89062,80.18168,220.0,7.75,4.27,5.96,10.97,15.27,0.888,0.338,62149,43.59
Balaghat Mine,BAL-DH049,21.87641,80.20057,112.7,8.73,3.68,6.87,4.82,22.78,0.737,0.315,39135,35.59
Balaghat Mine,BAL-DH050,21.85093,80.21895,60.9,3.38,4.24,3.64,10.66,23.73,-0.353,0.109,71520,26.74
Balaghat Mine,BAL-DH051,21.85378,80.2124,123.5,9.01,4.13,5.57,11.53,16.33,-0.683,0.295,54350,34.42
Balaghat Mine,BAL-DH052,21.87316,80.20295,110.7,8.88,3.75,5.93,6.39,12.15,-0.633,0.269,16010,35.59
Balaghat Mine,BAL-DH053,21.87629,80.21451,61.6,3.43,3.91,6.06,8.98,25.56,-0.341,0.188,21006,23.44
Balaghat Mine,BAL-DH054,21.85021,80.20311,79.8,11.24,3.98,5.89,12.25,9.4,0.034,0.868,46462,47.18
Balaghat Mine,BAL-DH055,21.87297,80.19842,61.4,1.73,4.39,4.51,7.81,22.62,-0.717,0.654,11592,26.63
Balaghat Mine,BAL-DH056,21.86469,80.2261,47.9,9.07,4.04,6.48,8.96,11.29,-0.039,0.49,65631,44.51
Balaghat Mine,BAL-DH057,21.899,80.19167,150.6,7.48,4.18,7.47,6.0,10.95,0.339,0.238,19646,37.88
Balaghat Mine,BAL-DH058,21.87203,80.20609,83.2,3.58,4.14,5.93,10.53,15.63,0.813,0.793,49879,37.31
Balaghat Mine,BAL-DH059,21.88256,80.22308,110.6,6.81,4.08,7.22,4.68,22.71,-0.551,0.371,58180,31.26
Balaghat Mine,BAL-DH060,21.85572,80.21083,166.7,10.91,3.93,4.61,4.38,8.53,-0.072,0.384,24775,40.92
Dongri Buzurg Mine,DON-DH001,21.55097,79.7123,174.0,7.12,4.4,7.8,6.56,19.77,-0.778,0.766,39524,30.31
Dongri Buzurg Mine,DON-DH002,21.55547,79.69347,137.3,6.26,3.5,3.69,10.37,13.33,0.694,0.39,54476,29.66
Dongri Buzurg Mine,DON-DH003,21.56081,79.71146,169.9,6.87,3.88,3.48,13.22,13.14,-0.122,0.553,74204,32.44
Dongri Buzurg Mine,DON-DH004,21.56706,79.67358,87.4,8.99,4.06,6.29,9.22,10.87,0.82,0.486,54783,41.15
Dongri Buzurg Mine,DON-DH005,21.55247,79.71286,132.5,3.66,3.57,4.97,4.89,17.49,0.936,0.903,38917,35.09
Dongri Buzurg Mine,DON-DH006,21.57132,79.70003,114.2,4.02,4.28,7.68,9.24,11.63,-0.16,0.911,42052,36.32
Dongri Buzurg Mine,DON-DH007,21.59037,79.7074,71.7,9.34,3.84,7.39,11.8,16.65,-0.341,0.363,47325,36.28
Dongri Buzurg Mine,DON-DH008,21.55383,79.69113,84.3,6.88,3.97,4.37,5.79,13.11,0.405,0.603,23649,36.61
Dongri Buzurg Mine,DON-DH009,21.58518,79.66638,157.3,8.46,4.25,3.93,11.8,19.61,0.915,0.536,10480,34.56
Dongri Buzurg Mine,DON-DH010,21.58989,79.70791,101.7,6.62,3.88,6.05,10.22,14.79,-0.572,0.513,72937,32.28
Dongri Buzurg Mine,DON-DH011,21.56333,79.69884,140.0,9.97,4.29,6.91,7.01,14.22,0.444,0.768,66450,45.82
Dongri Buzurg Mine,DON-DH012,21.57796,79.71025,203.5,8.89,3.86,2.12,12.29,19.04,-0.051,0.711,68529,35.31
Dongri Buzurg Mine,DON-DH013,21.5487,79.70401,74.9,5.06,3.55,4.85,11.53,17.75,-0.544,0.169,66346,24.13
Dongri Buzurg Mine,DON-DH014,21.59204,79.67136,105.5,3.82,3.67,1.56,12.56,22.29,0.37,0.239,37596,23.45
Dongri Buzurg Mine,DON-DH015,21.56368,79.69358,138.0,5.57,3.66,6.83,7.65,10.79,0.02,0.309,46319,25.41
Dongri Buzurg Mine,DON-DH016,21.56116,79.7131,141.5,4.03,3.99,5.82,4.47,21.15,0.242,0.537,68578,28.49
Dongri Buzurg Mine,DON-DH017,21.56071,79.70414,132.2,4.83,4.07,5.41,10.85,19.88,0.337,0.838,50093,35.02
Dongri Buzurg Mine,DON-DH018,21.56185,79.68624,127.2,8.74,3.49,3.36,5.67,21.2,-0.612,0.575,73090,30.35
Dongri Buzurg Mine,DON-DH019,21.57294,79.70987,173.0,3.85,4.27,4.54,11.09,22.32,-0.24,0.201,72514,29.6
Dongri Buzurg Mine,DON-DH020,21.58941,79.70041,200.3,11.16,4.24,3.8,4.13,22.02,0.116,0.5,53080,43.89
Dongri Buzurg Mine,DON-DH021,21.58002,79.69343,171.5,10.89,3.51,2.97,12.4,7.48,0.161,0.905,22832,42.58
Dongri Buzurg Mine,DON-DH022,21.59187,79.67931,95.9,2.64,4.39,3.42,4.92,16.36,0.747,0.219,38394,33.43
Dongri Buzurg Mine,DON-DH023,21.57992,79.70136,194.1,5.52,4.18,2.47,4.94,14.88,0.031,0.459,71752,36.11
Dongri Buzurg Mine,DON-DH024,21.56857,79.71173,177.6,2.22,4.12,4.93,7.41,25.58,-0.133,0.267,16185,20.8
Dongri Buzurg Mine,DON-DH025,21.5888,79.68694,142.4,7.81,4.03,1.63,6.31,21.95,-0.623,0.597,12597,29.61
Dongri Buzurg Mine,DON-DH026,21.5572,79.70768,81.3,2.72,4.35,1.52,5.37,23.31,-0.616,0.321,19691,22.34
Dongri Buzurg Mine,DON-DH027,21.57945,79.66549,24.0,9.34,3.65,3.54,4.5,10.31,0.485,0.563,57960,39.42
Dongri Buzurg Mine,DON-DH028,21.57206,79.66965,113.3,10.94,3.45,6.43,8.95,23.47,-0.026,0.948,12075,34.92
Dongri Buzurg Mine,DON-DH029,21.57035,79.68428,146.6,6.25,4.36,1.96,9.78,8.54,-0.732,0.342,50416,31.45
Dongri Buzurg Mine,DON-DH030,21.59613,79.69073,104.2,7.44,3.5,5.92,10.18,23.2,0.534,0.734,22407,30.91
Dongri Buzurg Mine,DON-DH031,21.56898,79.67562,83.2,5.87,3.84,2.1,10.32,15.11,-0.176,0.234,69840,34.27
Dongri Buzurg Mine,DON-DH032,21.55106,79.66903,156.3,9.56,3.98,5.19,7.13,17.67,-0.63,0.411,52578,35.5
Dongri Buzurg Mine,DON-DH033,21.58391,79.7076,153.0,11.17,4.03,3.72,6.02,17.98,0.332,0.297,15251,39.06
Dongri Buzurg Mine,DON-DH034,21.58453,79.69291,168.8,9.91,4.42,6.66,10.11,18.66,-0.803,0.918,63574,37.23
Dongri Buzurg Mine,DON-DH035,21.55977,79.67322,149.7,4.38,3.76,1.54,9.38,23.53,-0.129,0.225,50423,26.97
Dongri Buzurg Mine,DON-DH036,21.55716,79.68519,83.5,5.01,4.16,6.39,4.81,17.78,-0.755,0.239,49395,29.01
Dongri Buzurg Mine,DON-DH037,21.5801,79.67781,142.2,6.2,3.86,3.22,5.08,21.34,-0.076,0.349,53459,27.29
Dongri Buzurg Mine,DON-DH038,21.54867,79.68396,130.8,1.28,3.72,2.83,6.43,9.61,-0.259,0.107,58050,24.11
Dongri Buzurg Mine,DON-DH039,21.55518,79.68321,149.8,6.35,4.28,6.58,12.19,8.37,-0.774,0.116,69718,33.48
Dongri Buzurg Mine,DON-DH040,21.57507,79.69967,97.6,2.39,3.42,3.55,9.87,22.23,0.648,0.909,13905,23.18
Dongri Buzurg Mine,DON-DH041,21.58862,79.67637,128.9,6.6,3.82,3.45,7.16,13.45,-0.547,0.549,15640,25.48
Dongri Buzurg Mine,DON-DH042,21.56387,79.70057,170.9,9.59,3.65,2.42,9.72,10.75,0.518,0.677,19869,37.69
Dongri Buzurg Mine,DON-DH043,21.58504,79.68891,159.1,9.03,3.87,7.32,10.04,17.73,0.274,0.861,50024,38.48
Dongri Buzurg Mine,DON-DH044,21.56851,79.67934,71.4,1.78,3.93,3.46,4.54,15.59,0.647,0.168,65905,30.4
Dongri Buzurg Mine,DON-DH045,21.58916,79.69495,113.9,5.97,3.98,6.49,8.27,24.02,0.608,0.674,29542,31.43
Dongri Buzurg Mine,DON-DH046,21.54949,79.66938,185.6,4.74,4.15,4.68,6.35,10.28,-0.062,0.487,43024,32.55
Dongri Buzurg Mine,DON-DH047,21.55434,79.68284,72.9,5.41,3.76,5.27,10.15,22.0,-0.731,0.183,53451,23.72
Dongri Buzurg Mine,DON-DH048,21.57923,79.70952,180.8,4.63,4.01,2.39,13.19,13.65,0.407,0.445,47868,33.84
Dongri Buzurg Mine,DON-DH049,21.5933,79.67968,90.1,9.35,4.25,5.72,11.02,22.75,0.384,0.563,51284,37.3
Dongri Buzurg Mine,DON-DH050,21.56453,79.67321,60.4,10.96,3.91,2.93,4.73,9.61,0.67,0.189,59649,45.71
Dongri Buzurg Mine,DON-DH051,21.58816,79.70838,28.1,4.67,4.2,2.33,5.54,14.16,0.646,0.779,62206,40.61
Dongri Buzurg Mine,DON-DH052,21.56694,79.69802,64.7,5.78,3.7,6.22,9.07,15.53,-0.293,0.812,39424,33.14
Dongri Buzurg Mine,DON-DH053,21.58816,79.68259,194.3,11.34,3.88,3.28,9.01,14.26,0.889,0.819,61684,46.25
Dongri Buzurg Mine,DON-DH054,21.57846,79.70791,122.6,2.26,4.29,6.86,11.25,12.42,-0.359,0.897,17872,29.36
Dongri Buzurg Mine,DON-DH055,21.56827,79.71152,61.8,5.85,3.77,1.67,8.77,8.01,-0.426,0.975,33119,38.62
Dongri Buzurg Mine,DON-DH056,21.58836,79.6967,165.9,2.62,3.7,6.73,5.32,20.23,0.42,0.495,8352,24.79
Dongri Buzurg Mine,DON-DH057,21.55036,79.677,173.8,6.85,4.16,4.82,6.74,9.11,-0.308,0.142,36128,33.19
Dongri Buzurg Mine,DON-DH058,21.55194,79.70946,130.3,1.37,3.94,3.02,8.08,9.73,0.257,0.312,35910,24.9
Dongri Buzurg Mine,DON-DH059,21.57962,79.66848,199.4,1.9,3.95,4.7,9.26,25.78,-0.147,0.514,50590,22.96
Dongri Buzurg Mine,DON-DH060,21.54721,79.70363,84.3,8.75,4.06,6.36,7.16,20.97,-0.77,0.58,62505,34.14
Chikla Mine,CHI-DH001,21.53995,79.76626,112.4,8.36,4.06,6.61,11.37,8.2,-0.026,0.358,10935,33.81
Chikla Mine,CHI-DH002,21.57787,79.75307,213.9,6.79,3.67,6.25,7.39,10.63,0.556,0.862,30239,34.57
Chikla Mine,CHI-DH003,21.53742,79.7457,194.6,8.86,4.34,3.94,8.71,25.5,0.046,0.913,42791,36.02
Chikla Mine,CHI-DH004,21.53515,79.75742,181.6,6.82,3.74,2.0,6.91,19.56,0.235,0.475,54214,27.37
Chikla Mine,CHI-DH005,21.54878,79.72942,190.9,4.83,4.45,3.23,13.01,25.62,-0.715,0.661,32342,24.61
Chikla Mine,CHI-DH006,21.57884,79.73444,140.1,9.25,3.44,1.92,7.48,21.79,-0.161,0.599,48541,27.8
Chikla Mine,CHI-DH007,21.56515,79.77474,94.5,9.06,4.0,4.84,10.17,14.56,-0.401,0.2,57290,31.32
Chikla Mine,CHI-DH008,21.55928,79.74039,72.9,5.8,4.45,3.3,8.67,24.41,-0.629,0.85,38287,30.02
Chikla Mine,CHI-DH009,21.57613,79.74956,39.5,8.22,4.29,3.51,4.62,13.6,0.126,0.884,65041,41.4
Chikla Mine,CHI-DH010,21.56309,79.76698,120.9,2.45,3.61,2.37,4.25,22.02,0.147,0.425,61845,19.52
Chikla Mine,CHI-DH011,21.55878,79.7579,39.2,4.39,4.45,6.03,11.31,16.99,0.632,0.165,73149,32.62
Chikla Mine,CHI-DH012,21.56521,79.74453,192.4,9.24,4.07,2.65,8.11,25.36,0.789,0.149,16319,30.02
Chikla Mine,CHI-DH013,21.53885,79.73553,84.9,8.51,3.76,7.43,12.04,24.0,-0.399,0.659,44906,30.57
Chikla Mine,CHI-DH014,21.55787,79.75243,55.1,10.9,3.56,5.65,9.75,20.69,0.667,0.596,63291,40.12
Chikla Mine,CHI-DH015,21.53262,79.72957,146.6,7.14,4.08,6.33,10.07,14.92,0.046,0.652,27408,34.57
Chikla Mine,CHI-DH016,21.57143,79.76155,80.1,1.95,3.46,4.27,5.94,16.2,0.242,0.375,56130,23.35
Chikla Mine,CHI-DH017,21.56791,79.77034,211.2,2.55,3.79,5.04,8.43,13.06,-0.369,0.318,14486,19.36
Chikla Mine,CHI-DH018,21.56197,79.73971,189.9,2.84,3.74,5.14,11.25,12.94,0.047,0.553,41417,26.1
Chikla Mine,CHI-DH019,21.54663,79.72846,205.4,6.41,4.42,2.86,4.48,13.71,0.041,0.876,51835,34.59
Chikla Mine,CHI-DH020,21.57356,79.74885,193.3,8.69,4.2,3.81,9.42,14.61,-0.5,0.587,12927,31.91
Chikla Mine,CHI-DH021,21.55641,79.76552,76.6,11.39,4.11,2.25,7.74,25.53,0.581,0.398,70910,40.52
Chikla Mine,CHI-DH022,21.55666,79.7523,31.3,2.61,3.75,4.48,9.76,15.68,0.078,0.389,49076,24.35
Chikla Mine,CHI-DH023,21.53933,79.77683,165.6,4.28,3.75,6.72,10.73,17.11,-0.31,0.818,32680,22.68
Chikla Mine,CHI-DH024,21.56039,79.76714,162.9,8.29,3.43,4.49,11.44,25.37,0.547,0.608,56334,25.54
Chikla Mine,CHI-DH025,21.56038,79.73583,144.2,7.58,4.28,2.43,4.3,19.93,0.857,0.197,9269,33.42
Chikla Mine,CHI-DH026,21.56573,79.74782,172.5,10.68,4.32,6.14,5.31,8.18,-0.477,0.386,52369,40.68
Chikla Mine,CHI-DH027,21.55747,79.74299,56.0,10.59,3.76,3.73,10.85,21.67,0.308,0.71,48875,37.9
Chikla Mine,CHI-DH028,21.5591,79.73854,210.8,4.27,3.7,2.81,7.01,20.39,-0.222,0.922,61292,27.81
Chikla Mine,CHI-DH029,21.54487,79.73339,153.4,5.11,4.43,6.66,11.64,25.14,-0.327,0.353,55847,25.25
Chikla Mine,CHI-DH030,21.54402,79.75125,61.6,6.75,4.38,5.89,9.85,9.61,0.206,0.313,52879,38.7
Chikla Mine,CHI-DH031,21.55775,79.7592,32.7,5.46,4.15,2.13,4.05,21.64,0.141,0.918,35263,37.19
Chikla Mine,CHI-DH032,21.55507,79.73727,209.0,4.51,4.08,7.22,9.45,8.7,0.113,0.736,70757,31.74
Chikla Mine,CHI-DH033,21.57686,79.73605,193.2,3.01,4.37,7.78,8.71,14.54,0.836,0.947,70045,35.62
Chikla Mine,CHI-DH034,21.5596,79.73267,212.7,4.13,4.44,4.92,12.92,16.38,0.682,0.512,20918,29.49
Chikla Mine,CHI-DH035,21.53683,79.73542,111.3,3.85,3.6,6.14,9.39,22.02,0.513,0.254,65362,28.19
Chikla Mine,CHI-DH036,21.55696,79.73164,152.0,3.1,3.55,3.54,6.48,11.71,-0.426,0.763,71920,24.54
Chikla Mine,CHI-DH037,21.5463,79.76344,24.7,7.93,4.13,1.89,6.91,9.25,-0.12,0.542,67973,38.97
Chikla Mine,CHI-DH038,21.53707,79.77311,79.6,7.53,3.63,2.34,11.1,9.91,0.24,0.466,44799,32.16
Chikla Mine,CHI-DH039,21.55474,79.75418,151.0,3.45,3.66,6.25,4.78,23.59,-0.046,0.719,13233,21.58
Chikla Mine,CHI-DH040,21.55858,79.75257,133.3,2.74,3.74,4.78,5.95,9.21,0.2,0.18,42195,25.78
Chikla Mine,CHI-DH041,21.57163,79.74997,121.8,5.91,3.46,4.41,10.87,22.33,-0.137,0.818,57969,26.45
Chikla Mine,CHI-DH042,21.54843,79.73049,214.9,10.83,3.47,7.38,7.88,7.6,0.534,0.774,73548,41.36
Chikla Mine,CHI-DH043,21.56349,79.74832,214.6,5.14,4.31,7.21,10.49,14.14,0.341,0.575,51787,31.7
Chikla Mine,CHI-DH044,21.55806,79.75374,163.3,3.49,3.4,1.64,10.4,12.67,0.13,0.568,63165,26.67
Chikla Mine,CHI-DH045,21.54358,79.74461,75.8,10.86,4.16,2.21,7.98,22.38,0.529,0.878,9048,39.92
Chikla Mine,CHI-DH046,21.53288,79.75719,158.6,1.7,4.18,4.03,6.06,11.45,0.705,0.15,41761,28.72
Chikla Mine,CHI-DH047,21.54566,79.76809,164.0,4.48,4.03,5.74,6.87,13.09,-0.592,0.681,22810,26.4
Chikla Mine,CHI-DH048,21.57863,79.77129,198.9,7.65,3.85,4.62,12.95,25.47,0.358,0.792,29355,29.95
Chikla Mine,CHI-DH049,21.55202,79.73476,95.3,8.97,3.9,6.85,10.72,12.71,0.6,0.905,45680,42.59
Chikla Mine,CHI-DH050,21.5379,79.73944,61.8,7.86,4.37,6.84,10.88,8.76,-0.507,0.336,53136,35.32
Chikla Mine,CHI-DH051,21.56135,79.77098,58.9,9.05,4.16,5.02,12.26,16.11,-0.251,0.942,9027,39.82
Chikla Mine,CHI-DH052,21.53707,79.77728,115.2,3.7,4.03,2.79,9.24,24.39,0.546,0.435,43755,24.93
Chikla Mine,CHI-DH053,21.54916,79.74038,121.7,6.32,3.5,7.68,11.98,15.92,0.796,0.426,35733,28.8
Chikla Mine,CHI-DH054,21.5385,79.74034,203.4,7.17,3.84,2.46,7.61,13.27,0.65,0.539,51859,34.27
Chikla Mine,CHI-DH055,21.56544,79.74017,181.5,11.16,4.07,4.59,11.55,10.2,-0.545,0.734,40717,39.73
Chikla Mine,CHI-DH056,21.56329,79.73024,29.0,9.92,4.39,5.71,7.92,21.52,0.667,0.304,55380,39.7
Chikla Mine,CHI-DH057,21.53166,79.75259,94.7,7.56,4.1,5.38,8.63,16.18,-0.838,0.585,8794,27.28
Chikla Mine,CHI-DH058,21.58007,79.72816,179.8,8.14,4.25,7.23,4.91,9.03,-0.582,0.269,43273,33.42
Chikla Mine,CHI-DH059,21.57196,79.74067,99.3,5.04,3.83,5.06,6.15,25.81,0.381,0.846,51800,32.02
Chikla Mine,CHI-DH060,21.53588,79.74626,129.4,1.78,3.41,2.58,8.12,16.5,0.562,0.598,65483,22.77
Ukwa Mine,UKW-DH001,21.94857,80.47351,31.4,3.38,4.31,7.09,4.44,16.03,-0.716,0.915,68254,32.1
Ukwa Mine,UKW-DH002,21.99024,80.46282,213.2,7.25,4.19,5.99,4.73,14.57,-0.558,0.312,63922,32.03
Ukwa Mine,UKW-DH003,21.96326,80.49193,88.6,8.98,3.55,7.73,8.76,20.76,0.904,0.147,37285,34.54
Ukwa Mine,UKW-DH004,21.98225,80.49484,101.5,9.17,3.43,3.22,8.66,25.86,-0.21,0.928,36934,29.59
Ukwa Mine,UKW-DH005,21.97778,80.48013,40.0,7.57,4.24,5.99,5.47,8.56,0.431,0.658,57557,42.65
Ukwa Mine,UKW-DH006,21.94406,80.46251,94.2,3.98,3.54,2.68,9.27,15.53,-0.116,0.123,31712,23.87
Ukwa Mine,UKW-DH007,21.94845,80.477,87.2,5.17,3.71,3.94,12.56,8.61,0.779,0.961,46321,37.5
Ukwa Mine,UKW-DH008,21.95074,80.46216,120.5,1.85,3.86,4.15,4.73,16.2,-0.397,0.317,49877,24.79
Ukwa Mine,UKW-DH009,21.97349,80.45688,44.2,4.34,4.4,3.59,11.64,18.78,-0.257,0.395,62637,33.7
Ukwa Mine,UKW-DH010,21.95061,80.46313,210.4,3.27,3.73,7.58,6.77,25.41,0.401,0.532,46584,20.23
Ukwa Mine,UKW-DH011,21.95592,80.4659,184.5,5.25,3.52,5.05,9.18,18.25,0.377,0.584,71851,26.78
Ukwa Mine,UKW-DH012,21.96572,80.46167,160.0,9.64,4.24,4.08,10.02,16.49,-0.414,0.68,55921,37.83
Ukwa Mine,UKW-DH013,21.98325,80.4508,219.0,6.14,3.82,4.69,10.57,24.49,0.129,0.796,32088,29.37
Ukwa Mine,UKW-DH014,21.97571,80.45135,175.1,7.97,3.77,5.58,13.34,7.84,0.369,0.452,58430,34.59
Ukwa Mine,UKW-DH015,21.99209,80.46862,25.1,3.87,3.94,4.77,9.46,18.03,-0.048,0.444,59747,27.31
Ukwa Mine,UKW-DH016,21.96105,80.44833,43.7,5.48,4.41,2.23,5.35,24.87,-0.289,0.501,21860,28.53
Ukwa Mine,UKW-DH017,21.96795,80.47091,109.7,8.38,3.73,3.39,5.09,22.39,0.679,0.67,53368,39.41
Ukwa Mine,UKW-DH018,21.956,80.45582,54.7,6.97,4.41,2.96,5.75,14.7,0.303,0.48,9956,41.06
Ukwa Mine,UKW-DH019,21.97451,80.45697,140.1,5.21,4.14,2.8,11.68,21.29,-0.737,0.19,66423,25.75
Ukwa Mine,UKW-DH020,21.96668,80.46022,193.6,6.64,4.07,5.26,9.58,18.61,-0.224,0.844,49363,33.54
Ukwa Mine,UKW-DH021,21.98449,80.4824,81.8,7.53,3.49,2.34,6.9,9.24,-0.521,0.71,42225,31.93
Ukwa Mine,UKW-DH022,21.96299,80.45639,148.7,8.34,4.08,7.8,8.65,17.54,-0.597,0.377,38217,31.46
Ukwa Mine,UKW-DH023,21.94648,80.46505,24.9,2.61,4.26,7.57,8.7,16.6,0.382,0.466,64273,31.25
Ukwa Mine,UKW-DH024,21.94534,80.48515,80.8,4.03,3.96,2.56,11.05,15.69,0.529,0.584,15585,29.67
Ukwa Mine,UKW-DH025,21.94951,80.48586,185.8,4.98,4.26,1.76,9.19,20.66,0.932,0.19,63615,32.39
Ukwa Mine,UKW-DH026,21.99377,80.46959,91.9,9.61,3.86,7.76,6.25,21.74,0.609,0.617,31492,35.99
