mine,date,planned_production,actual_production,previous_production,equipment_downtime,blasting_delay,rainfall
Balaghat Mine,2023-08,17100,10620,10430,65.1,22.2,215.4
Balaghat Mine,2023-09,19100,11800,10620,89.1,16.2,320.7
Balaghat Mine,2023-10,17900,16550,11800,17.0,12.9,6.8
Balaghat Mine,2023-11,17900,16070,16550,34.3,13.8,23.4
Balaghat Mine,2023-12,18900,18000,16070,24.7,3.9,21.6
Balaghat Mine,2024-01,17600,17490,18000,17.7,2.0,1.5
Balaghat Mine,2024-02,17600,16150,17490,43.3,6.0,25.7
Balaghat Mine,2024-03,17200,17200,16150,44.6,6.4,6.4
Balaghat Mine,2024-04,17200,17310,17200,30.5,11.2,6.8
Balaghat Mine,2024-05,17900,16740,17310,16.1,12.6,6.9
Balaghat Mine,2024-06,18700,16300,16740,58.7,18.9,41.5
Balaghat Mine,2024-07,17800,9640,16300,96.2,17.3,270.9
Balaghat Mine,2024-08,19200,10190,9640,106.2,35.5,338.6
Balaghat Mine,2024-09,19000,10760,10190,49.2,18.0,390.8
Balaghat Mine,2024-10,17200,17030,10760,31.0,13.7,13.1
Balaghat Mine,2024-11,17900,17390,17030,16.6,8.4,21.6
Balaghat Mine,2024-12,17600,16140,17390,39.8,13.6,30.5
Dongri Buzurg Mine,2021-01,14200,14100,13720,26.5,10.0,2.8
Dongri Buzurg Mine,2021-02,14000,13090,14100,27.5,7.6,17.8
Dongri Buzurg Mine,2021-03,14000,13860,13090,35.0,7.9,24.3
Dongri Buzurg Mine,2021-04,14000,12930,13860,17.7,4.4,1.3
Dongri Buzurg Mine,2021-05,14000,12420,12930,41.1,8.9,10.7
Dongri Buzurg Mine,2021-06,14100,11750,12420,42.8,12.2,45.9
Dongri Buzurg Mine,2021-07,14800,8440,11750,72.7,24.8,329.1
Dongri Buzurg Mine,2021-08,13500,8420,8440,60.2,28.6,223.1
Dongri Buzurg Mine,2021-09,15000,7680,8420,78.3,28.5,382.2
Dongri Buzurg Mine,2021-10,13900,13780,7680,17.0,4.4,1.3
Dongri Buzurg Mine,2021-11,15100,14600,13780,33.9,5.3,28.5
Dongri Buzurg Mine,2021-12,14800,14280,14600,41.9,2.1,25.9
Dongri Buzurg Mine,2022-01,14500,13370,14280,24.1,6.9,27.4
Dongri Buzurg Mine,2022-02,14700,14600,13370,15.2,6.8,26.6
Dongri Buzurg Mine,2022-03,14600,12940,14600,28.1,11.4,16.6
Dongri Buzurg Mine,2022-04,13700,13010,12940,16.6,11.2,11.0
Dongri Buzurg Mine,2022-05,13500,12780,13010,29.5,6.5,15.7
Dongri Buzurg Mine,2022-06,14500,11930,12780,58.4,12.1,96.7
Dongri Buzurg Mine,2022-07,13300,7580,11930,95.6,26.3,276.8
Dongri Buzurg Mine,2022-08,14400,7120,7580,106.9,21.9,216.9
Dongri Buzurg Mine,2022-09,14000,7530,7120,101.4,35.6,325.9
Dongri Buzurg Mine,2022-10,13500,12320,7530,29.9,7.4,3.8
Dongri Buzurg Mine,2022-11,14200,13470,12320,29.4,2.4,3.7
Dongri Buzurg Mine,2022-12,13400,12750,13470,19.9,4.8,33.7
Dongri Buzurg Mine,2023-01,14000,13080,12750,28.1,4.1,2.0
Dongri Buzurg Mine,2023-02,14900,13850,13080,26.7,2.8,18.8
Dongri Buzurg Mine,2023-03,14200,12850,13850,17.2,7.2,4.5
Dongri Buzurg Mine,2023-04,13300,12370,12850,27.6,10.2,20.6
Dongri Buzurg Mine,2023-05,14300,14050,12370,12.2,6.8,5.0
Dongri Buzurg Mine,2023-06,14900,12220,14050,48.0,16.8,72.2
Dongri Buzurg Mine,2023-07,14400,8340,12220,90.5,29.9,289.5
Dongri Buzurg Mine,2023-08,15000,8210,8340,103.5,30.4,239.8
Dongri Buzurg Mine,2023-09,13700,7160,8210,82.0,23.3,224.0
Dongri Buzurg Mine,2023-10,14600,13440,7160,20.2,13.0,22.0
Dongri Buzurg Mine,2023-11,15100,14380,13440,27.3,13.9,7.6
Dongri Buzurg Mine,2023-12,14200,13960,14380,21.4,7.4,26.8
Dongri Buzurg Mine,2024-01,14000,13140,13960,12.6,10.3,16.2
Dongri Buzurg Mine,2024-02,13900,12410,13140,10.4,3.4,13.9
Dongri Buzurg Mine,2024-03,13700,13220,12410,27.0,2.8,26.2
Dongri Buzurg Mine,2024-04,13500,13240,13220,39.5,4.0,28.7
Dongri Buzurg Mine,2024-05,14700,14530,13240,28.7,6.7,10.3
Dongri Buzurg Mine,2024-06,13700,11320,14530,33.7,8.4,65.1
Dongri Buzurg Mine,2024-07,14600,7600,11320,99.4,32.0,347.2
Dongri Buzurg Mine,2024-08,14700,8360,7600,48.4,15.1,254.0
Dongri Buzurg Mine,2024-09,14100,8830,8360,69.4,20.0,402.9
Dongri Buzurg Mine,2024-10,14800,13620,8830,33.4,4.6,6.7
Dongri Buzurg Mine,2024-11,13500,12930,13620,15.9,4.0,29.1
Dongri Buzurg Mine,2024-12,13500,12820,12930,17.2,8.5,6.6
Chikla Mine,2021-01,10400,9740,10290,22.5,4.1,7.5
Chikla Mine,2021-02,10100,9650,9740,38.5,9.8,2.3
Chikla Mine,2021-03,10100,8150,9650,20.6,9.2,7.6
Chikla Mine,2021-04,11300,10290,8150,16.0,13.5,29.8
Chikla Mine,2021-05,10400,8880,10290,33.7,13.7,24.4
Chikla Mine,2021-06,10800,8170,8880,59.1,13.8,62.3
Chikla Mine,2021-07,10800,6000,8170,69.9,28.5,320.4
Chikla Mine,2021-08,11000,4810,6000,103.3,21.5,327.9
Chikla Mine,2021-09,10200,5610,4810,48.9,22.9,328.7
Chikla Mine,2021-10,10400,9370,5610,30.9,13.4,32.3
Chikla Mine,2021-11,11300,10340,9370,32.5,11.1,9.7
Chikla Mine,2021-12,10700,10010,10340,39.6,6.0,0.8
Chikla Mine,2022-01,11000,9840,10010,33.3,5.0,31.7
Chikla Mine,2022-02,10100,9080,9840,25.5,2.1,11.3
Chikla Mine,2022-03,10100,9270,9080,32.2,3.7,6.7
Chikla Mine,2022-04,10400,9380,9270,18.3,2.9,32.6
Chikla Mine,2022-05,10400,9720,9380,18.6,4.1,25.3
Chikla Mine,2022-06,10500,8230,9720,56.3,9.0,59.0
Chikla Mine,2022-07,11000,5760,8230,73.7,25.6,220.3
Chikla Mine,2022-08,11200,5130,5760,69.8,32.9,184.8
Chikla Mine,2022-09,10600,5430,5130,54.9,30.3,322.8
Chikla Mine,2022-10,10200,9940,5430,12.5,3.6,21.2
Chikla Mine,2022-11,10600,10670,9940,10.4,8.0,6.6
Chikla Mine,2022-12,10800,9650,10670,23.1,7.9,34.0
Chikla Mine,2023-01,10700,10370,9650,11.4,13.1,14.3
Chikla Mine,2023-02,10600,10020,10370,42.0,10.7,8.9
Chikla Mine,2023-03,11000,9760,10020,34.4,9.8,24.1
Chikla Mine,2023-04,10900,9970,9760,32.1,10.1,28.5
Chikla Mine,2023-05,10800,10960,9970,25.9,10.2,9.1
Chikla Mine,2023-06,10500,7860,10960,55.8,15.7,40.9
Chikla Mine,2023-07,10600,5390,7860,103.6,25.9,320.7
Chikla Mine,2023-08,10400,4740,5390,107.9,28.8,252.5
Chikla Mine,2023-09,10800,5710,4740,102.0,30.3,278.8
Chikla Mine,2023-10,10400,9350,5710,36.2,13.2,5.0
Chikla Mine,2023-11,10900,10120,9350,38.6,2.0,34.5
Chikla Mine,2023-12,10200,9430,10120,16.0,6.5,25.7
Chikla Mine,2024-01,10200,9280,9430,43.2,7.4,6.4
Chikla Mine,2024-02,10800,10270,9280,19.1,12.8,26.6
Chikla Mine,2024-03,10500,9880,10270,40.4,4.0,21.9
Chikla Mine,2024-04,10100,10040,9880,26.7,10.1,20.5
Chikla Mine,2024-05,10100,9130,10040,10.3,9.0,26.3
Chikla Mine,2024-06,10600,7820,9130,64.5,17.1,82.2
Chikla Mine,2024-07,11300,5730,7820,72.9,22.8,260.9
Chikla Mine,2024-08,10400,4790,5730,69.6,16.2,339.6
Chikla Mine,2024-09,11200,5910,4790,74.7,29.7,204.0
Chikla Mine,2024-10,10500,9870,5910,19.8,10.4,30.4
Chikla Mine,2024-11,10200,10330,9870,33.1,7.7,21.6
Chikla Mine,2024-12,11100,11040,10330,10.6,6.3,28.4
Ukwa Mine,2021-01,10800,10540,10290,25.6,9.3,11.4
Ukwa Mine,2021-02,11200,9950,10540,42.6,13.8,32.6
Ukwa Mine,2021-03,10700,9960,9950,20.3,4.3,25.7
Ukwa Mine,2021-04,10900,10240,9960,14.5,11.6,17.7
Ukwa Mine,2021-05,10100,9270,10240,40.6,4.0,19.2
Ukwa Mine,2021-06,10600,8500,9270,55.1,15.9,54.8
Ukwa Mine,2021-07,11000,4890,8500,55.4,34.5,351.8
Ukwa Mine,2021-08,10700,5960,4890,103.3,17.6,294.3
Ukwa Mine,2021-09,11200,5240,5960,50.9,29.5,354.1
Ukwa Mine,2021-10,10500,9160,5240,23.2,10.6,22.5
Ukwa Mine,2021-11,10300,9310,9160,29.7,12.3,22.5
Ukwa Mine,2021-12,10100,9130,9310,35.9,13.2,3.1
Ukwa Mine,2022-01,10000,9360,9130,39.9,13.4,12.9
Ukwa Mine,2022-02,10900,10290,9360,44.3,5.8,29.6
Ukwa Mine,2022-03,10500,9680,10290,28.2,9.2,27.9
Ukwa Mine,2022-04,10600,9590,9680,43.0,12.0,5.1
Ukwa Mine,2022-05,10900,9820,9590,15.1,10.0,21.1
Ukwa Mine,2022-06,10600,8140,9820,29.9,20.0,109.3
Ukwa Mine,2022-07,11300,5290,8140,77.2,29.8,378.9
Ukwa Mine,2022-08,10000,4940,5290,92.6,32.0,230.5
Ukwa Mine,2022-09,11300,5580,4940,56.6,25.2,387.7
Ukwa Mine,2022-10,11300,9890,5580,29.2,6.0,34.7
Ukwa Mine,2022-11,10900,10670,9890,23.7,8.3,26.5
Ukwa Mine,2022-12,11100,11060,10670,14.6,11.0,13.8
Ukwa Mine,2023-01,10200,9620,11060,34.8,7.5,29.7
Ukwa Mine,2023-02,10000,8980,9620,17.6,11.0,5.1
Ukwa Mine,2023-03,10200,9300,8980,30.1,10.1,25.4
Ukwa Mine,2023-04,10200,8860,9300,42.4,3.2,29.5
Ukwa Mine,2023-05,11300,10100,8860,44.3,9.8,1.8
Ukwa Mine,2023-06,11300,9030,10100,34.6,13.9,42.4
Ukwa Mine,2023-07,10900,5020,9030,69.4,29.5,336.7
Ukwa Mine,2023-08,10100,4430,5020,62.9,28.7,336.1
Ukwa Mine,2023-09,10000,4700,4430,76.8,29.0,199.8
Ukwa Mine,2023-10,10600,9890,4700,36.1,11.5,9.6
Ukwa Mine,2023-11,10100,10270,9890,25.2,8.9,22.6
Ukwa Mine,2023-12,10700,9690,10270,38.5,2.2,6.5
Ukwa Mine,2024-01,10900,10150,9690,27.1,8.2,28.4
Ukwa Mine,2024-02,10800,9920,10150,43.8,12.8,26.4
Ukwa Mine,2024-03,10200,9870,9920,29.4,11.6,6.3
Ukwa Mine,2024-04,10700,9700,9870,39.8,2.4,19.7
Ukwa Mine,2024-05,10000,8710,9700,29.1,7.1,12.7
Ukwa Mine,2024-06,10800,9270,8710,56.3,15.9,76.4
Ukwa Mine,2024-07,10700,5160,9270,79.0,35.7,346.8
Ukwa Mine,2024-08,11100,6180,5160,60.4,18.9,376.7
Ukwa Mine,2024-09,10200,4710,6180,84.1,19.5,409.8
Ukwa Mine,2024-10,10100,9420,4710,23.4,12.8,8.9
Ukwa Mine,2024-11,10100,9300,9420,24.9,10.3,8.9
Ukwa Mine,2024-12,11100,9390,9300,16.7,6.5,24.4
Tirodi Mine,2021-01,10600,10010,10290,24.7,3.8,21.2
Tirodi Mine,2021-02,10100,9800,10010,14.4,3.3,2.7
Tirodi Mine,2021-03,11200,10860,9800,22.7,6.0,22.4
Tirodi Mine,2021-04,11200,10800,10860,43.9,6.5,13.2
Tirodi Mine,2021-05,10600,9120,10800,35.5,5.7,6.2
Tirodi Mine,2021-06,10200,7620,9120,47.1,15.3,100.6
Tirodi Mine,2021-07,11300,4760,7620,70.3,22.2,407.2
Tirodi Mine,2021-08,10700,5870,4760,76.0,17.7,383.9
Tirodi Mine,2021-09,10000,5020,5870,53.2,23.0,217.3
Tirodi Mine,2021-10,10200,8550,5020,18.7,9.3,24.8
Tirodi Mine,2021-11,10600,10560,8550,37.9,8.0,34.5
Tirodi Mine,2021-12,10500,9130,10560,20.7,12.3,28.5
Tirodi Mine,2022-01,11300,10780,9130,13.2,3.0,10.9
Tirodi Mine,2022-02,11300,10290,10780,29.4,7.9,26.0
Tirodi Mine,2022-03,10700,10660,10290,27.8,10.8,14.8
Tirodi Mine,2022-04,11000,9900,10660,24.2,9.4,24.4
Tirodi Mine,2022-05,11000,10960,9900,34.6,11.0,25.0
Tirodi Mine,2022-06,11300,8740,10960,46.1,15.3,101.6
Tirodi Mine,2022-07,10100,4970,8740,102.3,26.0,341.9
Tirodi Mine,2022-08,10100,4460,4970,72.5,23.0,408.6
Tirodi Mine,2022-09,10100,4260,4460,61.2,26.3,399.4
Tirodi Mine,2022-10,10400,10160,4260,35.8,8.8,7.5
Tirodi Mine,2022-11,10600,9890,10160,32.5,11.9,32.7
Tirodi Mine,2022-12,10000,9230,9890,31.5,5.9,12.5
Tirodi Mine,2023-01,10600,10780,9230,16.5,6.3,31.2
Tirodi Mine,2023-02,10900,10990,10780,14.3,7.8,5.4
Tirodi Mine,2023-03,10200,9800,10990,23.8,5.6,7.9
Tirodi Mine,2023-04,10600,9870,9800,39.4,3.9,15.4
Tirodi Mine,2023-05,10000,9120,9870,40.5,4.4,12.6
Tirodi Mine,2023-06,10900,9290,9120,31.4,10.4,103.1
Tirodi Mine,2023-07,11000,5090,9290,72.4,26.6,243.8
Tirodi Mine,2023-08,10500,4620,5090,77.6,34.4,391.6
Tirodi Mine,2023-09,10700,6780,4620,52.0,15.4,206.3
Tirodi Mine,2023-10,10600,9400,6780,22.0,13.7,23.7
Tirodi Mine,2023-11,10200,9490,9400,27.0,11.1,10.1
Tirodi Mine,2023-12,11100,10330,9490,40.2,13.9,26.8
Tirodi Mine,2024-01,10700,10120,10330,34.7,11.7,6.9
Tirodi Mine,2024-02,10000,10570,10120,32.2,4.8,20.7
Tirodi Mine,2024-03,10100,9400,10570,42.5,7.1,34.7
Tirodi Mine,2024-04,10600,10230,9400,32.2,4.8,10.7
Tirodi Mine,2024-05,10400,9740,10230,32.5,5.7,17.8
Tirodi Mine,2024-06,11000,9900,9740,26.9,8.5,62.4
Tirodi Mine,2024-07,10200,5890,9900,75.7,34.1,230.9
Tirodi Mine,2024-08,11200,6270,5890,51.3,15.3,253.0
Tirodi Mine,2024-09,10700,4590,6270,93.2,22.6,259.5
Tirodi Mine,2024-10,11000,11020,4590,23.4,12.6,7.4
Tirodi Mine,2024-11,10200,9090,11020,30.5,12.9,4.2
Tirodi Mine,2024-12,11300,9770,9090,29.1,6.1,2.6
Kandri Mine,2021-01,10700,10380,10290,35.2,2.5,7.1
Kandri Mine,2021-02,10600,9850,10380,41.7,13.7,29.9
Kandri Mine,2021-03,11200,10440,9850,41.9,2.8,25.1
Kandri Mine,2021-04,10700,10460,10440,34.4,3.5,21.0
Kandri Mine,2021-05,10900,10720,10460,34.3,10.9,27.8
Kandri Mine,2021-06,10500,7570,10720,55.0,12.6,51.6
Kandri Mine,2021-07,10900,6950,7570,57.0,18.4,245.2
Kandri Mine,2021-08,10300,4760,6950,91.0,26.0,289.3
Kandri Mine,2021-09,10300,5790,4760,80.9,18.6,350.0
Kandri Mine,2021-10,10900,9800,5790,42.5,5.2,30.9
Kandri Mine,2021-11,10400,9830,9800,38.8,8.4,8.7
Kandri Mine,2021-12,10500,9380,9830,34.7,8.6,2.9
Kandri Mine,2022-01,11100,10460,9380,21.4,2.7,21.4
Kandri Mine,2022-02,11000,10480,10460,44.0,8.4,6.2
Kandri Mine,2022-03,10900,10740,10480,13.7,10.9,27.3
Kandri Mine,2022-04,10800,9950,10740,38.6,4.6,19.3
Kandri Mine,2022-05,11000,10060,9950,36.4,3.9,28.3
Kandri Mine,2022-06,10200,8750,10060,32.3,10.2,46.6
Kandri Mine,2022-07,10200,5510,8750,92.4,28.6,297.7
Kandri Mine,2022-08,11200,6870,5510,49.5,16.5,325.9
Kandri Mine,2022-09,11100,4960,6870,51.5,26.1,412.9
Kandri Mine,2022-10,10000,8850,4960,38.9,11.2,0.7
Kandri Mine,2022-11,10000,10330,8850,12.9,3.7,8.7
Kandri Mine,2022-12,10300,9250,10330,35.8,6.1,3.7
Kandri Mine,2023-01,10400,10100,9250,29.7,7.3,16.8
Kandri Mine,2023-02,10100,9250,10100,32.0,3.5,24.2
Kandri Mine,2023-03,11200,11150,9250,27.9,12.0,10.4
Kandri Mine,2023-04,10500,9570,11150,32.9,4.7,5.2
Kandri Mine,2023-05,10100,10280,9570,38.8,3.3,30.9
Kandri Mine,2023-06,11200,9280,10280,49.6,9.4,65.0
Kandri Mine,2023-07,10800,5000,9280,84.3,18.7,394.9
Kandri Mine,2023-08,10100,4800,5000,64.6,32.2,340.1
Kandri Mine,2023-09,10900,4310,4800,88.0,34.6,399.9
Kandri Mine,2023-10,10500,10080,4310,15.2,9.9,32.7
Kandri Mine,2023-11,10800,10650,10080,37.5,7.7,25.2
Kandri Mine,2023-12,10400,9680,10650,44.8,4.2,3.2
Kandri Mine,2024-01,10400,9550,9680,34.3,7.0,14.8
Kandri Mine,2024-02,10700,9630,9550,24.7,8.0,8.6
Kandri Mine,2024-03,10800,10010,9630,23.5,9.0,28.7
Kandri Mine,2024-04,10000,8630,10010,18.2,2.0,24.6
Kandri Mine,2024-05,10500,10290,8630,43.5,13.1,19.5
Kandri Mine,2024-06,11300,8470,10290,36.8,9.7,97.3
Kandri Mine,2024-07,10200,5780,8470,60.8,32.4,399.1
Kandri Mine,2024-08,10900,5850,5780,46.7,35.3,270.6
Kandri Mine,2024-09,10000,4270,5850,49.8,32.6,339.1
Kandri Mine,2024-10,10200,9890,4270,29.9,11.8,2.7
Kandri Mine,2024-11,10500,9530,9890,36.2,10.4,26.0
Kandri Mine,2024-12,10000,9640,9530,20.0,3.9,24.3
Munsar Mine,2021-01,10900,10290,10290,27.6,2.1,26.3
Munsar Mine,2021-02,10600,9210,10290,42.2,8.0,29.0
Munsar Mine,2021-03,10100,8920,9210,44.1,8.3,5.5
Munsar Mine,2021-04,11100,10920,8920,16.4,11.0,7.7
Munsar Mine,2021-05,11100,10610,10920,26.4,5.8,28.6
Munsar Mine,2021-06,10800,9740,10610,32.8,9.3,85.3
Munsar Mine,2021-07,10100,4590,9740,46.8,20.9,383.2
Munsar Mine,2021-08,10300,5440,4590,80.9,28.4,254.2
Munsar Mine,2021-09,10000,3590,5440,81.7,26.8,414.4
Munsar Mine,2021-10,10200,10520,3590,22.5,5.4,0.3
Munsar Mine,2021-11,10100,8540,10520,35.4,13.7,26.3
Munsar Mine,2021-12,10500,10040,8540,38.3,3.8,3.5
Munsar Mine,2022-01,10600,10250,10040,39.8,5.5,20.5
Munsar Mine,2022-02,11000,9790,10250,41.0,11.7,25.1
Munsar Mine,2022-03,10900,10090,9790,43.7,8.2,5.6
Munsar Mine,2022-04,10600,9550,10090,21.9,6.3,27.5
Munsar Mine,2022-05,10800,10430,9550,37.1,6.7,31.2
Munsar Mine,2022-06,11200,9310,10430,44.9,17.7,83.9
Munsar Mine,2022-07,10100,4580,9310,108.0,31.4,311.3
Munsar Mine,2022-08,10200,6770,4580,63.2,22.6,218.8
Munsar Mine,2022-09,11200,5970,6770,61.8,24.9,365.3
Munsar Mine,2022-10,10500,9490,5970,29.9,2.5,4.3
Munsar Mine,2022-11,11100,10720,9490,42.1,3.5,30.0
Munsar Mine,2022-12,10900,9810,10720,27.7,5.2,23.9
Munsar Mine,2023-01,11100,11160,9810,32.5,10.9,21.7
Munsar Mine,2023-02,10500,10480,11160,15.5,6.8,10.2
Munsar Mine,2023-03,11200,10460,10480,13.3,7.6,16.2
Munsar Mine,2023-04,10200,8980,10460,42.1,13.1,25.6
Munsar Mine,2023-05,10900,9960,8980,21.1,14.0,11.5
Munsar Mine,2023-06,10400,8570,9960,31.2,13.6,42.7
Munsar Mine,2023-07,10500,4580,8570,84.1,23.0,187.5
Munsar Mine,2023-08,10300,4760,4580,101.4,35.0,193.0
Munsar Mine,2023-09,10400,5540,4760,50.4,16.5,332.6
Munsar Mine,2023-10,10100,8490,5540,33.4,5.1,18.4
Munsar Mine,2023-11,10500,9790,8490,22.0,11.0,31.6
Munsar Mine,2023-12,10900,10630,9790,15.6,10.4,24.1
Munsar Mine,2024-01,10100,9300,10630,10.3,11.4,13.6
Munsar Mine,2024-02,11000,9380,9300,44.5,13.3,11.3
Munsar Mine,2024-03,11200,11720,9380,15.3,7.5,11.1
Munsar Mine,2024-04,11100,11170,11720,28.2,2.0,14.2
Munsar Mine,2024-05,10300,10280,11170,25.7,13.6,4.4
Munsar Mine,2024-06,11300,9430,10280,31.6,12.5,78.2
Munsar Mine,2024-07,10000,4420,9430,82.5,15.3,413.2
Munsar Mine,2024-08,10500,4450,4420,90.5,28.6,388.3
Munsar Mine,2024-09,10100,4730,4450,80.3,26.0,264.5
Munsar Mine,2024-10,11100,10840,4730,30.8,8.5,6.2
Munsar Mine,2024-11,11200,11130,10840,25.3,5.4,24.1
Munsar Mine,2024-12,10500,9010,11130,13.6,9.8,28.2
Gumgaon Mine,2021-01,10600,10010,10290,36.3,13.1,17.4
Gumgaon Mine,2021-02,10500,9970,10010,24.7,4.7,10.1
Gumgaon Mine,2021-03,11200,9710,9970,26.4,3.5,6.8
Gumgaon Mine,2021-04,10300,10050,9710,35.9,2.1,24.6
Gumgaon Mine,2021-05,11100,9800,10050,40.8,5.2,9.9
Gumgaon Mine,2021-06,10500,8870,9800,41.6,8.2,103.0
Gumgaon Mine,2021-07,11300,5670,8870,98.3,27.6,376.0
Gumgaon Mine,2021-08,11100,4900,5670,57.5,28.5,413.6
Gumgaon Mine,2021-09,10200,4780,4900,53.4,28.4,318.7
Gumgaon Mine,2021-10,10800,10020,4780,13.5,11.6,15.3
Gumgaon Mine,2021-11,10700,10240,10020,39.5,9.5,27.4
Gumgaon Mine,2021-12,10000,9230,10240,25.3,9.5,3.3
Gumgaon Mine,2022-01,11000,10580,9230,42.2,2.9,24.8
Gumgaon Mine,2022-02,10400,9740,10580,22.5,4.9,22.1
Gumgaon Mine,2022-03,11000,9950,9740,18.6,11.4,18.7
Gumgaon Mine,2022-04,10100,8990,9950,32.0,9.7,32.7
Gumgaon Mine,2022-05,11200,11130,8990,30.9,3.3,16.1
Gumgaon Mine,2022-06,10000,8050,11130,58.5,12.7,65.3
Gumgaon Mine,2022-07,10500,4790,8050,107.3,16.6,197.7
Gumgaon Mine,2022-08,10700,6700,4790,56.7,15.2,374.1
Gumgaon Mine,2022-09,10600,4310,6700,47.0,35.5,325.6
Gumgaon Mine,2022-10,10000,9160,4310,36.0,13.1,5.5
Gumgaon Mine,2022-11,10100,9310,9160,27.9,3.8,0.8
Gumgaon Mine,2022-12,10600,10240,9310,35.5,13.3,7.7
Gumgaon Mine,2023-01,11000,10150,10240,22.2,8.6,33.4
Gumgaon Mine,2023-02,11200,10600,10150,16.8,4.1,14.0
Gumgaon Mine,2023-03,10400,9760,10600,23.7,9.0,9.8
Gumgaon Mine,2023-04,11100,9260,9760,40.9,7.1,17.1
Gumgaon Mine,2023-05,10500,9640,9260,31.3,7.2,21.8
Gumgaon Mine,2023-06,10400,8510,9640,26.4,14.1,51.7
Gumgaon Mine,2023-07,10000,4500,8510,86.9,35.3,378.4
Gumgaon Mine,2023-08,10500,5280,4500,68.3,16.5,369.8
Gumgaon Mine,2023-09,10400,5430,5280,52.9,21.7,367.1
Gumgaon Mine,2023-10,10700,10010,5430,29.7,6.6,31.5
Gumgaon Mine,2023-11,11100,10780,10010,19.7,9.3,3.6
Gumgaon Mine,2023-12,10200,9940,10780,36.5,5.8,14.8
Gumgaon Mine,2024-01,10100,9470,9940,27.5,13.9,28.1
Gumgaon Mine,2024-02,11100,10570,9470,30.2,5.4,13.4
Gumgaon Mine,2024-03,10500,9880,10570,41.9,5.4,34.6
Gumgaon Mine,2024-04,11100,10510,9880,32.6,2.8,1.4
Gumgaon Mine,2024-05,10700,9970,10510,19.6,11.0,25.3
Gumgaon Mine,2024-06,11300,9210,9970,52.9,13.5,67.5
Gumgaon Mine,2024-07,10000,5990,9210,69.3,28.0,209.1
Gumgaon Mine,2024-08,10200,5450,5990,89.7,24.1,257.5
Gumgaon Mine,2024-09,11300,4740,5450,69.0,34.0,396.5
Gumgaon Mine,2024-10,10400,9970,4740,13.9,13.4,27.5
Gumgaon Mine,2024-11,10200,9580,9970,38.4,5.2,21.4
Gumgaon Mine,2024-12,10500,9160,9580,36.4,12.7,30.2
Sitapatore Mine,2021-01,10900,10610,10290,14.3,8.3,15.6
Sitapatore Mine,2021-02,10100,9740,10610,17.9,5.2,25.6
Sitapatore Mine,2021-03,10300,9940,9740,40.6,9.9,19.5
Sitapatore Mine,2021-04,10200,10010,9940,10.5,4.6,2.1
Sitapatore Mine,2021-05,11100,10580,10010,17.3,9.1,3.7
Sitapatore Mine,2021-06,10300,7850,10580,31.2,14.1,71.8
Sitapatore Mine,2021-07,11000,5150,7850,108.4,33.2,267.3
Sitapatore Mine,2021-08,10200,5260,5150,65.0,33.3,219.4
Sitapatore Mine,2021-09,10200,4430,5260,93.4,20.1,390.3
Sitapatore Mine,2021-10,10600,10420,4430,19.3,13.1,15.8
